year	Both-Mean	Both-10th_pctile	Both-20th_pctile	Both-30th_pctile	Both-40th_pctile	Both-50th_pctile	Both-60th_pctile	Both-70th_pctile	Both-80th_pctile	Both-90th_pctile	Male-Mean	Male-10th_pctile	Male-20th_pctile	Male-30th_pctile	Male-40th_pctile	Male-50th_pctile	Male-60th_pctile	Male-70th_pctile	Male-80th_pctile	Male-90th_pctile	Female-Mean	Female-10th_pctile	Female-20th_pctile	Female-30th_pctile	Female-40th_pctile	Female-50th_pctile	Female-60th_pctile	Female-70th_pctile	Female-80th_pctile	Female-90th_pctile
1984	24.3231422847	19.6653066314	20.982333644	21.9529889153	22.8625643743	23.7478934763	24.7996324388	25.8244106387	27.2521767342	29.497674808	25.0812872494	21.0215634344	22.1647005779	23.0369364469	23.7523506635	24.6317629545	25.5440504713	26.4464830304	27.368625505	29.5576190624	23.5995028708	18.8812631251	20.028319119	20.982333644	21.873275811	22.6575157501	23.7261772743	24.902664995	26.6251201757	29.2640823991
1985	24.3047259437	19.739502358	20.982333644	21.9653887315	22.957374029	23.7523506635	24.6915695243	25.8019980625	27.2478521531	29.2866930513	25.0406234152	21.0215634344	22.3152415676	23.0559082829	23.9229724641	24.4121381819	25.3996991594	26.4464830304	27.408593548	29.2887545575	23.6185316266	19.0455028461	20.1190566494	20.982333644	21.7893464764	22.7099775112	23.7770669493	24.9610501647	26.6251201757	29.2640823991
1986	24.4335116983	19.7662295314	21.0335592244	22.1121516094	23.0125928666	23.7770669493	24.9409256953	25.8423882024	27.3415947637	29.6493442971	25.1888358386	21.1845289701	22.3510441624	23.1272888039	23.9229724641	24.8454897473	25.7268845993	26.5444637211	27.7058757223	29.6848668453	23.7302270081	19.1368051263	20.1753208115	21.0335592244	21.9268748384	22.7099775112	23.8063212531	25.0173978063	26.6254908752	29.3752671015
1987	24.6503328791	19.839705951	21.1437721656	22.2399560906	23.1231772859	24.1290151592	25.0672208916	26.1703531202	27.4636554547	29.9532601976	25.3754943682	21.2867087261	22.4285660609	23.4033721413	24.2761828568	25.0362615102	25.7683680809	26.6083859076	27.9792995979	29.859474801	23.9600854672	19.2045540744	20.2544458978	21.1437721656	21.9709243637	23.0282301217	24.0910715119	25.4038812956	27.3194438633	29.9532601976
1988	24.7188789649	19.9358103867	21.2568278047	22.3142200569	23.1798391149	24.2103849738	25.0902531314	26.386548307	27.6923324225	30.1054880555	25.4448983861	21.2867087261	22.4649451482	23.493080184	24.3276671155	25.0672208916	25.8270457827	26.6314234712	28.057807211	30.1083037577	24.0355519631	19.2045540744	20.3606694928	21.2568278047	22.132131146	23.1724592899	24.2103849738	25.6060720992	27.408593548	30.0383731535
1989	24.7565010046	19.9365795152	21.2568278047	22.3142200569	23.2283654043	24.2103849738	25.0902531314	26.3201723568	27.6923324225	30.2277631701	25.4398928586	21.2867087261	22.5186759407	23.4955684942	24.3276671155	25.0672208916	25.8019980625	26.6254908752	27.9792995979	30.1315534131	24.0990547117	19.2045540744	20.3606694928	21.2568278047	22.1425289632	23.0282301217	24.1290151592	25.5346907964	27.4350772492	30.2860741998
1990	24.8659200155	19.9358103867	21.2568278047	22.3777933334	23.4033721413	24.3276671155	25.1298721021	26.4993493615	27.9101345414	30.4095838944	25.5609843215	21.2867087261	22.5030920819	23.5674275182	24.3659904727	25.0902531314	25.8423882024	26.9387319443	28.1729924791	30.4095838944	24.2036468645	19.2278244134	20.3711266461	21.2867087261	22.3138628293	23.2419695748	24.2761828568	25.7471769887	27.4384363036	30.2960175082
1991	25.0337574284	20.0474284237	21.4125370821	22.4649451482	23.493080184	24.3943060868	25.5077649157	26.5821060203	28.1916962208	30.6834571554	25.6635619808	21.4125370821	22.6551400013	23.627627125	24.3922099058	25.1046467635	25.8481463103	27.1245979799	28.2662667732	30.5151727274	24.4354867761	19.368307979	20.4848576794	21.4559808239	22.4349567424	23.4112659193	24.5630328818	25.8244106387	27.8008782792	30.8966123865
1992	25.1968393072	20.1156018619	21.4826816001	22.5963593089	23.627627125	24.5456420626	25.7268845993	26.6254908752	28.3123022702	30.8966123865	25.8058913697	21.4125370821	22.7415911078	23.7099441656	24.4075571839	25.1096278443	26.2857351766	27.1967006605	28.4808278789	30.6834571554	24.6170964207	19.3962066648	20.597741591	21.6276286705	22.5963593089	23.6183008479	24.7996324388	26.2204088419	28.1916962208	31.0930875491
1993	25.3400508462	20.1973450054	21.6178902686	22.6739496583	23.7099441656	24.7172899092	25.7930851702	26.9621277802	28.4329609413	31.1761571192	25.9673486246	21.5225381522	22.8071879208	23.7099441656	24.4121381819	25.5230575429	26.4464830304	27.368625505	28.6967175363	31.0112606016	24.7418477765	19.4854254876	20.6739105619	21.6329101427	22.6544642328	23.7261772743	24.8889377558	26.4587131746	28.2891901867	31.2845162064
1994	25.487010014	20.2544458978	21.6329101427	22.8243642855	23.7770669493	24.9358587934	25.8244106387	27.1967006605	28.7296568356	31.324106912	26.1432508923	21.5822607694	22.957374029	23.7523506635	24.8190071516	25.7268845993	26.5444637211	27.4978324481	28.9747988936	31.2475368729	24.8562121495	19.5703551044	20.7841047461	21.7893464764	22.8071879208	23.8328671064	24.9610501647	26.5205746742	28.3218946876	31.4588885791
